OrderID,OrderDate,CustomerLocation,ProductCategory,Brand,Quantity,UnitPrice,Discount,IsPromotion,FinalPrice
ORD00001,2024-06-19,Chicago,Home & Kitchen,Adidas,4,879.93,15,No,2991.76
ORD00002,2024-07-18,Los Angeles,Electronics,Nike,2,316.95,20,No,507.12
ORD00003,2024-12-25,New York,Electronics,Samsung,3,21.1,20,No,50.64
ORD00004,2025-04-11,Los Angeles,Electronics,Nike,1,395.63,25,Yes,296.72
ORD00005,2024-10-19,Miami,Home & Kitchen,Puma,4,720.1,25,No,2160.3
ORD00006,2024-08-26,New York,Home & Kitchen,Puma,5,833.91,15,Yes,3544.12
ORD00007,2024-10-23,Miami,Electronics,Sony,1,505.3,10,Yes,454.77
ORD00008,2024-11-01,Houston,Fashion,Nike,2,326.0,25,No,489.0
ORD00009,2024-11-13,Houston,Sports,Dell,3,302.23,15,No,770.69
ORD00010,2025-05-24,New York,Home & Kitchen,Samsung,3,985.67,10,No,2661.31
ORD00011,2024-07-15,Phoenix,Fashion,Dell,4,195.45,20,No,625.44
ORD00012,2024-10-31,Houston,Sports,Dell,5,347.03,15,No,1474.88
ORD00013,2024-11-03,Miami,Home & Kitchen,Puma,1,81.02,25,No,60.77
ORD00014,2025-04-07,Los Angeles,Electronics,Nike,1,486.17,0,Yes,486.17
ORD00015,2025-03-27,Chicago,Fashion,Adidas,4,467.28,15,Yes,1588.75
ORD00016,2024-08-18,Los Angeles,Sports,Samsung,5,287.75,0,Yes,1438.75
ORD00017,2024-12-08,San Francisco,Beauty,Nike,5,373.4,25,Yes,1400.25
ORD00018,2024-06-28,Seattle,Home & Kitchen,Sony,4,260.74,25,Yes,782.22
ORD00019,2025-01-01,Phoenix,Beauty,Sony,5,797.98,15,Yes,3391.41
ORD00020,2025-04-25,Chicago,Fashion,Sony,2,926.07,5,No,1759.53
ORD00021,2025-03-28,Seattle,Beauty,Nike,5,256.92,5,Yes,1220.37
ORD00022,2025-05-04,Chicago,Sports,LG,2,775.58,15,Yes,1318.49
ORD00023,2024-12-04,Chicago,Fashion,Puma,5,274.36,0,Yes,1371.8
ORD00024,2025-04-14,Seattle,Fashion,Apple,4,413.07,20,No,1321.82
ORD00025,2024-08-27,San Francisco,Sports,Sony,4,17.32,25,No,51.96
ORD00026,2025-04-03,Houston,Electronics,Sony,2,52.35,20,Yes,83.76
ORD00027,2024-09-25,Chicago,Beauty,Samsung,1,772.21,15,No,656.38
ORD00028,2025-01-14,Chicago,Beauty,Nike,1,313.52,25,Yes,235.14
ORD00029,2025-01-21,Houston,Fashion,Sony,2,228.09,15,No,387.75
ORD00030,2025-03-19,Miami,Sports,Dell,2,919.38,5,Yes,1746.82
ORD00031,2025-02-26,Phoenix,Home & Kitchen,Puma,4,326.74,5,Yes,1241.61
ORD00032,2025-02-05,Seattle,Electronics,Adidas,4,504.93,5,No,1918.73
ORD00033,2024-08-04,Phoenix,Beauty,Nike,3,33.19,10,Yes,89.61
ORD00034,2024-12-08,Houston,Fashion,Puma,2,580.59,20,No,928.94
ORD00035,2024-06-11,Chicago,Fashion,Adidas,5,850.38,15,No,3614.11
ORD00036,2025-01-09,Los Angeles,Fashion,LG,3,122.89,0,Yes,368.67
ORD00037,2025-02-20,New York,Beauty,Nike,1,359.63,5,Yes,341.65
ORD00038,2024-06-30,New York,Home & Kitchen,Puma,3,364.1,15,Yes,928.46
ORD00039,2024-10-18,Phoenix,Electronics,Apple,3,466.98,10,Yes,1260.85
ORD00040,2025-05-27,Miami,Fashion,Puma,3,790.92,15,Yes,2016.85
ORD00041,2025-05-28,Houston,Home & Kitchen,Apple,4,518.86,5,No,1971.67
ORD00042,2024-10-11,Miami,Beauty,Nike,2,398.44,15,Yes,677.35
ORD00043,2024-08-06,Miami,Fashion,Sony,3,11.92,10,No,32.18
ORD00044,2024-10-03,Houston,Electronics,Apple,5,689.66,5,Yes,3275.88
ORD00045,2025-03-04,Houston,Home & Kitchen,Adidas,3,144.86,10,No,391.12
